20160,J,002131A,AL_GENERALOTTO,0010
20160,J,002131A,AC,0020
20160,J,002131A,AC,0030
20160,J,002131A,ASC,0040
20160,J,002131A,AV,0050
20238,J,F010-000020A,AL_GENERALOTTO,0010
20238,J,F010-000020A,AC,0020
20238,J,F010-000020A,AC,0030
20238,J,F010-000020A,ASC,0040
20238,J,F010-000020A,AV,0050
20244,J,F010-000030,AL_GENERALOTTO,0010
20244,J,F010-000030,AC,0020
20244,J,F010-000030,AC,0030
20244,J,F010-000030,ASC,0040
20249,J,F010-000030,AF,0010
20249,J,F010-000030,AV,0020
15324,J,F010-000053,AL_GENERALOTTO,0010
15324,J,F010-000053,AC,0020
15324,J,F010-000053,ASC,0030
15324,J,F010-000053,AV,0040
19697,J,F010-000053,AF,0010
19697,J,F010-000053,AV,0020
14873,J,F010-000078,AL_GENERALOTTO,0010
14873,J,F010-000078,AC,0020
14873,J,F010-000078,ASC,0030
14873,J,F010-000078,AV,0040
19915,J,F010-000078,AF,0010
19915,J,F010-000078,AV,0020
14873,J,F010-000078,AL_GENERALOTTO,0010
14873,J,F010-000078,AC,0020
14873,J,F010-000078,ASC,0030
14873,J,F010-000078,AV,0040
19275,J,F010-000107,AL_GENERALOTTO,0010
19275,J,F010-000107,AC,0020
19275,J,F010-000107,AC,0030
19275,J,F010-000107,AC,0040
19275,J,F010-000107,ASC,0050
19275,J,F010-000107,AV,0060
19715,J,F010-000107,AF,0010
19715,J,F010-000107,AV,0020
19277,J,F010-000109,AL_GENERALOTTO,0010
19277,J,F010-000109,AC,0020
19277,J,F010-000109,AC,0030
19277,J,F010-000109,AC,0040
19277,J,F010-000109,ASC,0050
19277,J,F010-000109,AV,0060
19716,J,F010-000109,AF,0010
19716,J,F010-000109,AV,0020
19279,J,F010-000110,AL_GENERALOTTO,0010
19279,J,F010-000110,AC,0020
19279,J,F010-000110,AC,0030
19279,J,F010-000110,AC,0040
19279,J,F010-000110,ASC,0050
19279,J,F010-000110,AV,0060
19717,J,F010-000110,AF,0010
19717,J,F010-000110,AV,0020
19556,J,F010-000200,AL_GENERALOTTO,0010
19556,J,F010-000200,AC,0020
19556,J,F010-000200,ASC,0030
19556,J,F010-000200,AV,0040
20043,J,F010-000253,AL_GENERALOTTO,0010
20043,J,F010-000253,AC,0020
20043,J,F010-000253,ASC,0030
20043,J,F010-000253,AV,0040
19242,J,F010-000263,AL_GENERALOTTO,0010
19242,J,F010-000263,AC,0020
19242,J,F010-000263,AC,0030
19242,J,F010-000263,AC,0040
19242,J,F010-000263,ASC,0050
19714,J,F010-000263,AF,0010
19714,J,F010-000263,AV,0020
19564,J,F010-000279,AL_GENERALOTTO,0010
19564,J,F010-000279,AC,0020
19564,J,F010-000279,ASC,0030
19564,J,F010-000279,AV,0040
20250,J,F010-000287,AL_GENERALOTTO,0010
20250,J,F010-000287,AC,0020
20250,J,F010-000287,ASC,0030
20250,J,F010-000287,AV,0040
20251,J,F010-000288,AL_GENERALOTTO,0010
20251,J,F010-000288,AC,0020
20251,J,F010-000288,ASC,0030
20251,J,F010-000288,AV,0040
19565,J,F010-000296A,AL_GENERALOTTO,0010
19565,J,F010-000296A,AC,0020
19565,J,F010-000296A,ASC,0030
19565,J,F010-000296A,AV,0040
18094,J,F010-000300,AL_GENERALOTTO,0010
18094,J,F010-000300,AC,0020
18094,J,F010-000300,ASC,0030
18094,J,F010-000300,AV,0040
20180,J,F010-000301-4,AL_GENERALOTTO,0010
20180,J,F010-000301-4,AC,0020
20180,J,F010-000301-4,ASC,0030
20180,J,F010-000301-4,AV,0040
15659,J,F010-000330,AL_GENERALOTTO,0010
15659,J,F010-000330,AC,0020
15659,J,F010-000330,ASC,0030
15659,J,F010-000330,AV,0040
19605,J,F010-000373,AL_GENERALOTTO,0010
19605,J,F010-000373,AC,0020
19605,J,F010-000373,AC,0030
19605,J,F010-000373,ASC,0040
19605,J,F010-000373,AV,0050
14867,J,F010-000403,AL_GENERALOTTO,0010
14867,J,F010-000403,AC,0020
14867,J,F010-000403,ASC,0030
14867,J,F010-000403,AV,0040
19999,J,F010-000403,AF,0010
14867,J,F010-000403,AV,0040
14867,J,F010-000403,AL_GENERALOTTO,0010
14867,J,F010-000403,AC,0020
14867,J,F010-000403,ASC,0030
14867,J,F010-000403,AV,0040
15850,J,F010-000403B,AL_GENERALOTTO,0010
15850,J,F010-000403B,AC,0020
15850,J,F010-000403B,ASC,0030
15850,J,F010-000403B,AV,0040
16082,J,F010-000412A,AL_GENERALOTTO,0010
16082,J,F010-000412A,AC,0020
16082,J,F010-000412A,ASC,0030
16082,J,F010-000412A,AV,0040
19667,J,F010-000416,AL_GENERALOTTO,0010
19667,J,F010-000416,AC,0020
19667,J,F010-000416,AC,0030
19667,J,F010-000416,AC,0040
19667,J,F010-000416,AC,0050
19667,J,F010-000416,ASC,0060
19667,J,F010-000416,AV,0070
19677,J,F010-000417,AL_GENERALOTTO,0010
19677,J,F010-000417,AC,0020
19677,J,F010-000417,AC,0030
19677,J,F010-000417,AC,0040
19677,J,F010-000417,AC,0050
19677,J,F010-000417,ASC,0060
19677,J,F010-000417,AV,0070
19680,J,F010-000422,AL_GENERALOTTO,0010
19680,J,F010-000422,AC,0020
19680,J,F010-000422,AC,0030
19680,J,F010-000422,AC,0040
19680,J,F010-000422,AC,0050
19702,J,F010-000423,AL_GENERALOTTO,0010
19702,J,F010-000423,AC,0020
19702,J,F010-000423,AC,0030
19702,J,F010-000423,AC,0040
